one_hour_interval;station_id;latitude;longitude;avg_temp;qlevel
2019-01-25 01:00:00;203_H;52.36;3.341667;2.9;0
2019-01-25 02:00:00;203_H;52.36;3.341667;2.8;0
2019-01-25 03:00:00;203_H;52.36;3.341667;2.9;0
2019-01-25 04:00:00;203_H;52.36;3.341667;3.0;0
2019-01-25 05:00:00;203_H;52.36;3.341667;3.0;0
2019-01-25 06:00:00;203_H;52.36;3.341667;3.9;0
2019-01-25 07:00:00;203_H;52.36;3.341667;4.5;0
2019-01-25 08:00:00;203_H;52.36;3.341667;5.6;0
2019-01-25 09:00:00;203_H;52.36;3.341667;5.4;0
2019-01-25 10:00:00;203_H;52.36;3.341667;5.5;0
2019-01-25 11:00:00;203_H;52.36;3.341667;5.8;0
2019-01-25 12:00:00;203_H;52.36;3.341667;5.3;0
2019-01-25 13:00:00;203_H;52.36;3.341667;6.5;0
2019-01-25 14:00:00;203_H;52.36;3.341667;7.3;0
2019-01-25 15:00:00;203_H;52.36;3.341667;8.2;0
2019-01-25 16:00:00;203_H;52.36;3.341667;8.8;0
2019-01-25 17:00:00;203_H;52.36;3.341667;9.0;0
2019-01-25 18:00:00;203_H;52.36;3.341667;9.5;0
2019-01-25 19:00:00;203_H;52.36;3.341667;9.7;0
2019-01-25 20:00:00;203_H;52.36;3.341667;9.7;0
2019-01-25 21:00:00;203_H;52.36;3.341667;9.4;0
2019-01-25 22:00:00;203_H;52.36;3.341667;9.3;0
2019-01-25 23:00:00;203_H;52.36;3.341667;9.3;0
2019-01-26 00:00:00;203_H;52.36;3.341667;9.2;0
2019-01-26 01:00:00;203_H;52.36;3.341667;8.9;0
2019-01-26 02:00:00;203_H;52.36;3.341667;9.1;0
2019-01-26 03:00:00;203_H;52.36;3.341667;8.9;0
2019-01-26 04:00:00;203_H;52.36;3.341667;8.6;0
2019-01-26 05:00:00;203_H;52.36;3.341667;8.4;0
2019-01-26 06:00:00;203_H;52.36;3.341667;8.3;0
2019-01-26 07:00:00;203_H;52.36;3.341667;8.0;0
2019-01-26 08:00:00;203_H;52.36;3.341667;7.9;0
2019-01-26 09:00:00;203_H;52.36;3.341667;8.2;0
2019-01-26 10:00:00;203_H;52.36;3.341667;8.1;0
